Site,Month,TaxaGroup,BinWidth,BinMidpoint,Density,NormalizedDensity,Log10_BinMidpoint,Log10_Density,Log10_NormalizedDensity
Cabin,3,1,0.0064,0.0096,4,625,-2.0177,0.6021,2.7959
Cabin,3,1,0.0128,0.0192,5,390.625,-1.7167,0.699,2.5918
Cabin,3,1,0.0256,0.0384,3,117.1875,-1.4157,0.4771,2.0689
Cabin,3,1,0.0512,0.0768,4,78.125,-1.1146,0.6021,1.8928
Cabin,3,1,0.1024,0.1536,10,97.6563,-0.8136,1,1.9897
Cabin,3,1,0.2048,0.3072,1,4.8828,-0.5126,0,0.6887
Cabin,3,1,0.4096,0.6144,2,4.8828,-0.2115,0.301,0.6887
Cabin,3,1,0.8192,1.2288,2,2.4414,0.0895,0.301,0.3876
Cabin,3,1,1.6384,2.4576,1,0.6104,0.3905,0,-0.2144
Cabin,3,1,52.4288,78.6432,0.0027,0.0001,1.8957,-2.5631,-4.2827
Cabin,3,2,104.8576,157.2864,0.0046,0,2.1967,-2.3412,-4.3618
Cabin,3,2,419.4304,629.1456,0.0073,0,2.7988,-2.1371,-4.7598
Cabin,3,2,838.8608,1258.29,0.0082,0,3.0998,-2.086,-5.0097
Cabin,3,2,1677.72,2516.58,0.01,0,3.4008,-1.9988,-5.2235
Cabin,3,2,3355.44,5033.16,0.0009,0,3.7018,-3.0402,-6.566
Cabin,3,2,6710.89,10066.33,0.0018,0,4.0029,-2.7392,-6.566
Camp,3,1,0.0064,0.0096,17,2656.25,-2.0177,1.2304,3.4243
Camp,3,1,0.0128,0.0192,19,1484.375,-1.7167,1.2788,3.1715
Camp,3,1,0.0256,0.0384,48,1875,-1.4157,1.6812,3.273
Camp,3,1,0.0512,0.0768,38,742.1875,-1.1146,1.5798,2.8705
Camp,3,1,0.1024,0.1536,37,361.3281,-0.8136,1.5682,2.5579
Camp,3,1,0.2048,0.3072,25,122.0703,-0.5126,1.3979,2.0866
Camp,3,1,0.4096,0.6144,10,24.4141,-0.2115,1,1.3876
Camp,3,1,0.8192,1.2288,9,10.9863,0.0895,0.9542,1.0409
Camp,3,1,1.6384,2.4576,5,3.0518,0.3905,0.699,0.4846
Camp,3,1,3.2768,4.9152,3,0.9155,0.6915,0.4771,-0.0383
Camp,3,1,52.4288,78.6432,0.0029,0.0001,1.8957,-2.5445,-4.2641
Camp,3,2,104.8576,157.2864,0.0048,0,2.1967,-2.3226,-4.3432
Camp,3,2,209.7152,314.5728,0.0167,0.0001,2.4977,-1.7786,-4.1002
Camp,3,2,419.4304,629.1456,0.0276,0.0001,2.7988,-1.5592,-4.1819
Camp,3,2,838.8608,1258.29,0.0057,0,3.0998,-2.2435,-5.1671
Camp,3,2,1677.72,2516.58,0.0048,0,3.4008,-2.3226,-5.5474
Camp,3,2,3355.44,5033.16,0.0019,0,3.7018,-2.7206,-6.2463
Camp,3,2,6710.89,10066.33,0.0014,0,4.0029,-2.8455,-6.6723
Camp,3,2,13421.77,20132.66,0.001,0,4.3039,-3.0216,-7.1494
Camp,3,2,26843.55,40265.32,0.0043,0,4.6049,-2.3684,-6.7972
Camp,3,2,53687.09,80530.64,0.0019,0,4.906,-2.7206,-7.4504
Slaunch,3,1,0.0064,0.0096,27,4218.75,-2.0177,1.4314,3.6252
Slaunch,3,1,0.0128,0.0192,30,2343.75,-1.7167,1.4771,3.3699
Slaunch,3,1,0.0256,0.0384,97,3789.0625,-1.4157,1.9868,3.5785
Slaunch,3,1,0.0512,0.0768,50,976.5625,-1.1146,1.699,2.9897
Slaunch,3,1,0.1024,0.1536,42,410.1563,-0.8136,1.6232,2.6129
Slaunch,3,1,0.2048,0.3072,30,146.4844,-0.5126,1.4771,2.1658
Slaunch,3,1,0.4096,0.6144,18,43.9453,-0.2115,1.2553,1.6429
Slaunch,3,1,0.8192,1.2288,20,24.4141,0.0895,1.301,1.3876
Slaunch,3,1,1.6384,2.4576,3,1.8311,0.3905,0.4771,0.2627
Slaunch,3,1,13.1072,19.6608,1,0.0763,1.2936,0,-1.1175
Slaunch,3,1,52.4288,78.6432,0.0717,0.0014,1.8957,-1.1447,-2.8642
Slaunch,3,2,104.8576,157.2864,0.0908,0.0009,2.1967,-1.042,-3.0626
Slaunch,3,2,209.7152,314.5728,0.0564,0.0003,2.4977,-1.2489,-3.5705
Slaunch,3,2,419.4304,629.1456,0.0736,0.0002,2.7988,-1.1332,-3.7559
Slaunch,3,2,838.8608,1258.29,0.0764,0.0001,3.0998,-1.1166,-4.0403
Slaunch,3,2,1677.72,2516.58,0.0234,0,3.4008,-1.6306,-4.8553
Slaunch,3,2,3355.44,5033.16,0.0162,0,3.7018,-1.7893,-5.315
Slaunch,3,2,6710.89,10066.33,0.0053,0,4.0029,-2.2794,-6.1062
Slaunch,3,2,26843.55,40265.32,0.0005,0,4.6049,-3.3208,-7.7496
Cabin,5,1,0.0064,0.0096,40,6250,-2.0177,1.6021,3.7959
Cabin,5,1,0.0128,0.0192,35,2734.375,-1.7167,1.5441,3.4369
Cabin,5,1,0.0256,0.0384,54,2109.375,-1.4157,1.7324,3.3242
Cabin,5,1,0.0512,0.0768,49,957.0313,-1.1146,1.6902,2.9809
Cabin,5,1,0.1024,0.1536,51,498.0469,-0.8136,1.7076,2.6973
Cabin,5,1,0.2048,0.3072,41,200.1953,-0.5126,1.6128,2.3015
Cabin,5,1,0.4096,0.6144,8,19.5313,-0.2115,0.9031,1.2907
Cabin,5,1,0.8192,1.2288,4,4.8828,0.0895,0.6021,0.6887
Cabin,5,1,1.6384,2.4576,3,1.8311,0.3905,0.4771,0.2627
Cabin,5,1,3.2768,4.9152,7,2.1362,0.6915,0.8451,0.3296
Cabin,5,1,6.5536,9.8304,2,0.3052,0.9926,0.301,-0.5154
Cabin,5,1,13.1072,19.6608,1,0.0763,1.2936,0,-1.1175
Cabin,5,1,52.4288,78.6432,0.0036,0.0001,1.8957,-2.4381,-4.1577
