"","site","lat","long"
"1","ARIK",39.758206,-102.447148
"2","BIGC",37.059719,-119.257549
"3","BLDE",44.95011,-110.58715
"4","BLUE",34.444218,-96.624201
"5","CARI",65.153224,-147.503973
"6","COMO",40.034962,-105.544164
"7","CUPE",18.11352,-66.98676
"8","GUIL",18.17406,-66.79868
"9","HOPB",42.471941,-72.329526
"10","KING",39.105061,-96.603829
"11","LECO",35.690428,-83.50379
"12","LEWI",39.095637,-77.983216
"13","MART",45.790835,-121.933788
"14","MAYF",32.960365,-87.407688
"15","MCDI",38.945861,-96.443022
"16","MCRA",44.259598,-122.165554
"17","POSE",38.89431,-78.147258
"18","PRIN",33.378517,-97.782312
"19","REDB",40.783934,-111.797887
"20","SYCA",33.750993,-111.508091
"21","WALK",35.957378,-84.279251
"22","WLOU",39.891366,-105.915395
